index,Teacher_ID,SchoolCode,Year,Semester,Subjects_Taught,Grades_Taught,NumSectionsPerGrade,PayPerSection,StudentEnrollment
135,060,GP,2021,Spring,"Physics,Mathematics,Biology,Chemistry",G1,3,4818,25
79,061,GP,2019,Spring,Mathematics,G3,2,6901,17
24,062,GP,2022,Fall,Chemistry,G4,2,5912,22
172,062,MS,2023,Spring,"Biology,Physics,Chemistry",G4,2,10342,33
11,063,GP,2023,Fall,"Mathematics,Chemistry,Biology,Physics",G3,2,10875,23
62,063,PI,2020,Fall,Chemistry,G1,2,10251,25
110,063,GP,2019,Spring,"Chemistry,Mathematics,Physics",G1,2,9730,8
72,065,MS,2022,Spring,"Chemistry,Mathematics,Physics",G4,3,5779,35
198,066,BV,2018,Fall,"Physics,Mathematics",G3,2,4923,26
55,067,GP,2018,Spring,Biology,G3,2,6091,25
153,067,PI,2022,Spring,"Chemistry,Physics,Mathematics,Biology",G1,2,4844,9
77,068,GP,2022,Spring,"Physics,Mathematics,Chemistry,Biology",G4,1,5704,26
54,069,BV,2022,Fall,Physics,G2,2,7240,27
103,072,MS,2018,Fall,"Mathematics,Chemistry",G2,1,9590,35
134,072,MS,2023,Spring,"Chemistry,Mathematics",G3,3,7523,16
180,072,PI,2019,Fall,"Chemistry,Mathematics,Physics,Biology",G2,1,9229,33
115,073,BV,2022,Spring,"Chemistry,Mathematics,Physics",G4,3,6134,8
14,075,PI,2018,Spring,"Physics,Biology,Mathematics",G2,2,8559,28
26,075,GP,2023,Spring,"Biology,Chemistry,Mathematics,Physics",G3,2,8024,22
60,075,GP,2018,Spring,Biology,G2,1,6108,17
104,075,GP,2023,Fall,"Biology,Chemistry",G2,3,7111,37
159,075,BV,2020,Fall,"Biology,Chemistry",G2,1,6968,38
70,077,MS,2018,Fall,"Chemistry,Mathematics",G3,2,5101,33
12,078,MS,2021,Fall,"Mathematics,Biology,Chemistry",G1,1,8988,12
42,078,BV,2020,Spring,"Mathematics,Biology,Chemistry",G2,1,6305,26
58,078,GP,2021,Fall,Biology,G1,1,8946,6
64,079,BV,2023,Spring,"Mathematics,Biology,Chemistry",G2,3,10463,34
17,080,BV,2018,Spring,"Mathematics,Biology,Chemistry,Physics",G2,1,7996,8
150,080,MS,2021,Fall,"Physics,Mathematics",G1,1,8446,11
45,081,PI,2022,Fall,"Biology,Physics,Chemistry",G4,1,7183,32
152,081,MS,2019,Fall,"Chemistry,Physics,Mathematics,Biology",G2,3,10620,25
195,081,GP,2022,Fall,Biology,G4,1,9253,15
199,081,GP,2020,Spring,"Chemistry,Biology",G2,3,7049,24
23,082,GP,2020,Fall,Biology,G1,2,4340,25
175,082,PI,2023,Fall,"Biology,Mathematics,Physics,Chemistry",G1,1,6742,24
31,083,BV,2020,Fall,"Chemistry,Biology,Physics",G2,1,4279,31
38,083,MS,2021,Spring,"Physics,Biology,Mathematics",G3,2,9591,23
136,083,PI,2022,Spring,"Biology,Physics,Chemistry,Mathematics",G3,3,8543,23
177,083,GP,2021,Spring,Biology,G3,3,8544,28
7,084,GP,2022,Fall,Biology,G4,3,8153,8
52,086,PI,2019,Spring,"Chemistry,Physics,Mathematics",G2,1,10191,38
18,087,PI,2023,Spring,"Chemistry,Mathematics",G2,3,6260,32
116,087,MS,2020,Fall,"Physics,Mathematics,Biology,Chemistry",G3,1,5916,12
51,089,BV,2020,Fall,"Physics,Mathematics,Chemistry,Biology",G3,2,4572,36
69,089,GP,2020,Spring,"Biology,Physics",G1,2,10793,27
119,089,PI,2023,Spring,"Chemistry,Biology,Physics,Mathematics",G4,1,6166,27
41,090,PI,2022,Fall,"Mathematics,Chemistry",G4,2,10686,5
176,091,PI,2019,Fall,"Mathematics,Chemistry,Biology",G2,2,5567,21
75,092,PI,2022,Fall,Physics,G3,3,8398,7
121,092,PI,2019,Spring,"Mathematics,Physics,Biology,Chemistry",G3,3,9369,8
44,093,MS,2020,Spring,"Biology,Chemistry,Physics",G1,2,9005,7
162,093,PI,2023,Fall,"Biology,Mathematics,Chemistry,Physics",G1,1,8013,12
20,094,BV,2023,Spring,"Chemistry,Physics,Mathematics",G2,1,4323,13
22,094,GP,2018,Spring,Physics,G3,2,7204,7
25,094,MS,2022,Fall,"Mathematics,Physics,Biology",G1,3,8800,28
89,094,GP,2023,Fall,"Mathematics,Chemistry,Physics",G2,2,4566,18
155,095,GP,2022,Fall,"Mathematics,Biology",G1,1,6705,25
161,095,PI,2020,Spring,Biology,G2,2,8913,39
141,096,PI,2019,Spring,"Chemistry,Physics,Biology,Mathematics",G2,3,8863,12
146,096,MS,2021,Spring,"Physics,Biology,Chemistry,Mathematics",G1,3,7402,28
190,096,GP,2020,Fall,"Biology,Physics",G2,3,7511,8
194,096,PI,2018,Spring,"Biology,Physics",G3,1,8398,16
166,098,MS,2020,Spring,"Biology,Mathematics",G4,3,4516,19
187,098,MS,2022,Spring,"Physics,Chemistry",G1,3,9693,37
21,099,PI,2023,Fall,"Biology,Mathematics,Physics,Chemistry",G4,2,7420,35
29,099,PI,2021,Fall,"Chemistry,Mathematics,Biology",G3,1,5359,26
80,100,MS,2020,Fall,Biology,G3,3,8589,9
108,100,GP,2020,Fall,"Biology,Physics,Mathematics,Chemistry",G4,2,5070,33
